AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4052,"Pourers and Casters, Metal",detailed,"44,910",0.5,14.43,17.67,22.04,24.27,29.77,"30,010","36,750","45,850","50,480","61,920",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4060,"Model Makers and Patternmakers, Metal and Plastic",broad,"55,740",1.4,15.18,18.61,23.79,34.94,38.62,"31,560","38,700","49,480","72,680","80,330",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4061,"Model Makers, Metal and Plastic",detailed,"59,080",2,17.74,20.91,26.75,36.98,38.62,"36,900","43,480","55,630","76,920","80,330",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4062,"Patternmakers, Metal and Plastic",detailed,"49,840",1.3,14.48,18.13,23.12,29.16,36.26,"30,120","37,710","48,090","60,660","75,420",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,"37,720",0.4,13.08,14.24,17.59,21.83,24.11,"27,200","29,610","36,590","45,410","50,150",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4071,Foundry Mold and Coremakers,detailed,"39,980",0.9,13.85,14.71,18.13,22.81,25.89,"28,810","30,590","37,710","47,440","53,850",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"37,530",0.4,13.02,14.22,17.48,21.54,24.03,"27,070","29,570","36,370","44,810","49,990",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",broad,"40,830",0.5,13.73,14.56,18.09,22.84,28.7,"28,560","30,280","37,630","47,500","59,700",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,"40,830",0.5,13.73,14.56,18.09,22.84,28.7,"28,560","30,280","37,630","47,500","59,700",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4110,Tool and Die Makers,broad,"56,150",0.4,17.74,22.46,27.41,30.5,37.13,"36,900","46,720","57,000","63,430","77,240",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4111,Tool and Die Makers,detailed,"56,150",0.4,17.74,22.46,27.41,30.5,37.13,"36,900","46,720","57,000","63,430","77,240",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4120,"Welding, Soldering, and Brazing Workers",broad,"47,910",0.2,14.79,18.15,22.55,26.93,30.37,"30,760","37,750","46,910","56,000","63,170",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,"48,290",0.2,15.07,18.2,22.6,27.33,30.61,"31,350","37,860","47,010","56,850","63,660",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,"42,950",0.8,14.43,17.32,18.55,23.22,28.71,"30,010","36,020","38,580","48,290","59,720",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4190,Miscellaneous Metal Workers and Plastic Workers,broad,"40,940",0.5,13.92,14.56,18.09,22.81,28.83,"28,950","30,280","37,630","47,440","59,970",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,"41,560",1.1,13.99,15.33,18.49,23.05,27.97,"29,110","31,890","38,450","47,940","58,180",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4192,"Layout Workers, Metal and Plastic",detailed,"52,340",1.5,15.57,18.97,24.85,29.63,31.73,"32,380","39,460","51,690","61,620","66,000",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,"38,580",0.6,13.86,14.48,17.89,22,23.77,"28,820","30,120","37,200","45,760","49,440",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,"43,660",1.7,13.95,16.51,18.48,23.55,29.19,"29,010","34,330","38,430","48,980","60,710",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,"39,480",0.9,13.86,14.46,17.78,22.08,27.97,"28,820","30,070","36,990","45,920","58,180",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-5100,Printing Workers,minor,"40,660",0.4,13.17,14.46,18.13,22.84,28.71,"27,400","30,070","37,710","47,500","59,710",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-5110,Printing Workers,broad,"40,660",0.4,13.17,14.46,18.13,22.84,28.71,"27,400","30,070","37,710","47,500","59,710",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-5111,Prepress Technicians and Workers,detailed,"43,800",0.8,14,16.43,20.49,23.54,29.31,"29,110","34,180","42,610","48,960","60,960",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-5112,Printing Press Operators,detailed,"41,120",0.4,13.41,14.5,18.16,22.91,28.76,"27,890","30,160","37,770","47,640","59,830",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-5113,Print Binding and Finishing Workers,detailed,"37,060",1.3,11.46,14.23,17.59,22.03,23.34,"23,840","29,610","36,590","45,820","48,550",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6000,"Textile, Apparel, and Furnishings Workers",minor,"31,210",0.3,10.67,11.75,14.14,17.41,20.48,"22,190","24,440","29,420","36,220","42,590",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6010,Laundry and Dry-Cleaning Workers,broad,"27,830",0.3,9.97,11.08,13.63,14.34,17.45,"20,740","23,040","28,350","29,820","36,300",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6011,Laundry and Dry-Cleaning Workers,detailed,"27,830",0.3,9.97,11.08,13.63,14.34,17.45,"20,740","23,040","28,350","29,820","36,300",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6020,"Pressers, Textile, Garment, and Related Materials",broad,"28,110",0.7,10.38,11.2,13.79,14.34,17.39,"21,580","23,290","28,680","29,820","36,160",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,"28,110",0.7,10.38,11.2,13.79,14.34,17.39,"21,580","23,290","28,680","29,820","36,160",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,51-6030,Sewing Machine Operators,broad,"30,880",0.4,10.72,12.56,14.27,17.35,18.47,"22,290","26,120","29,690","36,100","38,420",,
